split,strategy_action,candidate_feature,reason_label,applicant_count,avg_reason_rank,avg_shap_value,avg_pd,bad_rate,avg_feature_value,action_applicant_count,applicant_share_in_action
validation,decline,pos_def_dpd_max,近期还款延迟或逾期行为,329,3.3313069908814588,0.16819657759473525,0.31611454401253747,0.3465045592705167,21.179331306990882,6151,0.05348723784750447
validation,decline,catoh__NAME_FAMILY_STATUS__01_Married,模型识别的申请资料风险信号,304,4.384868421052632,0.12962204383517353,0.273649235111311,0.26644736842105265,0.0,6151,0.049422858071858235
validation,decline,DEF_30_CNT_SOCIAL_CIRCLE,模型识别的申请资料风险信号,220,2.9363636363636365,0.1895223180869719,0.3160440070760605,0.2818181818181818,2.2772727272727273,6151,0.03576654202568688
validation,decline,EXT_SOURCE_2,外部综合评分/外部数据风险信号,213,2.192488262910798,0.32992223432151313,0.3830311445813545,0.39906103286384975,0.006212645872645403,6151,0.03462851568850593
validation,decline,DAYS_BIRTH,年龄段相关风险,210,4.404761904761905,0.11589789110633512,0.273702350299443,0.29523809523809524,-13965.05238095238,6151,0.034140790115428386
validation,decline,REGION_RATING_CLIENT_W_CITY,模型识别的申请资料风险信号,193,4.2642487046632125,0.12214308008288402,0.2753087955772088,0.24352331606217617,3.0,6151,0.03137701186798895
validation,decline,ext_source_max,外部综合评分/外部数据风险信号,181,4.580110497237569,0.10842466541060991,0.26434243882844244,0.27624309392265195,0.29657351405704546,6151,0.02942610957567875
validation,decline,installment_late_ratio,近期还款延迟或逾期行为,165,3.933333333333333,0.14047920049589574,0.29939764300081656,0.2909090909090909,0.4793134118571426,6151,0.02682490651926516
validation,decline,credit_card_recent_6m_drawings_sum,信用卡历史使用表现风险,164,3.024390243902439,0.21732525752834533,0.3063297230786128,0.35365853658536583,405034.1064214939,6151,0.02666233132823931
validation,decline,pos_recent_6m_instalment_future_mean,POS/现金贷历史表现风险,163,3.067484662576687,0.1810743315041925,0.287604742212194,0.26993865030674846,46.90876085480298,6151,0.026499756137213462
validation,decline,pos_instalment_future_mean,POS/现金贷历史表现风险,147,4.142857142857143,0.12378398201394132,0.27333880543614475,0.2857142857142857,27.5572435028699,6151,0.02389855308079987
validation,decline,REG_CITY_NOT_LIVE_CITY,模型识别的申请资料风险信号,140,4.042857142857143,0.13688860767158917,0.2900854654510504,0.37857142857142856,1.0,6151,0.022760526743618923
validation,decline,FLAG_WORK_PHONE,模型识别的申请资料风险信号,140,4.335714285714285,0.11726126133441538,0.2780081570900327,0.2785714285714286,1.0,6151,0.022760526743618923
validation,decline,bureau_recent_6m_total_debt_to_credit_ratio,征信负债相对授信额度偏高,127,3.645669291338583,0.14972296055804493,0.2835976668138666,0.28346456692913385,0.0038855406529028115,6151,0.02064704926028288
validation,decline,bureau_consumer_credit_debt_sum,外部征信历史风险信号,125,3.496,0.15675939148872828,0.2915256343642295,0.312,2997918.865,6151,0.020321898878231184
validation,decline,annuity_to_income_ratio,还款压力相对收入偏高,125,4.328,0.12920084670282325,0.29179291463799084,0.336,0.40627955794334414,6151,0.020321898878231184
validation,decline,pos_recent_12m_instalment_future_mean,POS/现金贷历史表现风险,119,4.1344537815126055,0.12108320254793985,0.2588932150480417,0.3025210084033613,34.981512294096106,6151,0.019346447732076087
validation,decline,credit_card_recent_12m_balance_max,信用卡历史使用表现风险,116,3.896551724137931,0.1612728568778639,0.2969983274635882,0.33620689655172414,634474.1368534482,6151,0.018858722158998538
validation,decline,previous_credit_to_application_mean,历史申请与授信表现风险,116,4.017241379310345,0.1312947792561237,0.266670418391494,0.25,1.1604097783565521,6151,0.018858722158998538
validation,decline,AMT_GOODS_PRICE,模型识别的申请资料风险信号,101,4.712871287128713,0.11712122136482539,0.2635951376020769,0.2376237623762376,494331.68316831684,6151,0.016420094293610795
validation,decline,installment_recent_6m_late_days_max,近期还款延迟或逾期行为,91,3.5494505494505493,0.16328346718965475,0.3196162570074326,0.31868131868131866,31.802197802197803,6151,0.0147943423833523
validation,decline,pos_recent_24m_dpd_max,近期还款延迟或逾期行为,90,3.7444444444444445,0.15142317443564846,0.28586061474576824,0.2777777777777778,434.3888888888889,6151,0.01463176719232645
validation,decline,pos_recent_6m_instalment_future_max,POS/现金贷历史表现风险,88,4.090909090909091,0.13234068500078092,0.2604366288498828,0.2727272727272727,48.0,6151,0.014306616810274751
validation,decline,bureau_recent_24m_credit_sum,外部征信历史风险信号,79,4.037974683544304,0.13186962310923334,0.30642136898232974,0.35443037974683544,4105851.7768987343,6151,0.012843440091042107
validation,decline,bureau_credit_card_debt_sum,外部征信历史风险信号,76,3.0526315789473686,0.2080131967959428,0.31478149787883986,0.3157894736842105,1261100.7935855263,6151,0.012355714517964559
validation,decline,bureau_recent_12m_credit_sum,外部征信历史风险信号,76,4.276315789473684,0.1194916804718061,0.2743323427463702,0.3026315789473684,1695654.7606907894,6151,0.012355714517964559
validation,decline,bureau_sum_overdue_amount,外部征信历史风险信号,69,2.4927536231884058,0.36312938487811025,0.45881710585187296,0.5072463768115942,118953.14150249094,6151,0.011217688180783612
validation,decline,bureau_recent_24m_active_loan_count,外部征信历史风险信号,63,4.26984126984127,0.12561262085730115,0.29241212144057777,0.2698412698412698,6.809523809523809,6151,0.010242237034628515
validation,decline,OWN_CAR_AGE,年龄段相关风险,59,4.728813559322034,0.10855427635915084,0.2606341423422053,0.4067796610169492,,6151,0.009591936270525118
validation,decline,bureau_days_credit_max,外部征信历史风险信号,56,3.4107142857142856,0.17763718283539998,0.30684751090921425,0.2857142857142857,-7.75,6151,0.00910421069744757
validation,decline,previous_recent_6m_credit_to_application_mean,历史申请与授信表现风险,48,4.041666666666667,0.12848160686121213,0.2845015919437587,0.20833333333333334,1.3343359306454659,6151,0.007803609169240774
validation,decline,previous_cnt_payment_mean,历史申请与授信表现风险,47,4.1063829787234045,0.11975140259735988,0.2568273481099895,0.2765957446808511,35.5790060733227,6151,0.007641033978214924
validation,decline,installment_late_days_mean,近期还款延迟或逾期行为,43,4.465116279069767,0.12808855165767674,0.28580266179373104,0.2558139534883721,15.895588508872098,6151,0.006990733214111527
validation,decline,bureau_recent_12m_overdue_loan_ratio,外部征信历史风险信号,42,2.0238095238095237,0.41211631703705104,0.4031321211314922,0.3333333333333333,1.0,6151,0.0068281580230856774
validation,decline,pos_recent_6m_def_dpd_month_ratio,近期还款延迟或逾期行为,41,4.024390243902439,0.1284696781708388,0.300220982051305,0.2682926829268293,0.27244395635476926,6151,0.006665582832059828
validation,decline,installment_last_due_day,历史分期还款表现风险,38,3.4210526315789473,0.17236276510748536,0.32110117627068496,0.2631578947368421,-2792.3947368421054,6151,0.006177857258982279
validation,decline,DEF_60_CNT_SOCIAL_CIRCLE,模型识别的申请资料风险信号,38,4.526315789473684,0.12122868813177996,0.25584790263535084,0.2631578947368421,1.8157894736842106,6151,0.006177857258982279
validation,decline,bureau_active_loan_count,外部征信历史风险信号,35,3.942857142857143,0.1475669892441335,0.29302542139488746,0.2571428571428571,10.971428571428572,6151,0.005690131685904731
validation,decline,catoh__OCCUPATION_TYPE__06_Drivers,模型识别的申请资料风险信号,31,4.516129032258065,0.1167037125566188,0.2498760293222498,0.2903225806451613,1.0,6151,0.0050398309218013335
validation,decline,bureau_recent_6m_loan_count,外部征信历史风险信号,30,4.333333333333333,0.12361681055424072,0.2899192930804642,0.16666666666666666,6.1,6151,0.004877255730775484
